"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2015","1.4901","1.5000","1.5004","1.4863","","-0.69%"
"12/16/2015","1.5004","1.5038","1.5101","1.4966","","-0.21%"
"12/15/2015","1.5035","1.5142","1.5186","1.5026","","-0.71%"
"12/14/2015","1.5142","1.5217","1.5232","1.5107","","-0.49%"
"12/11/2015","1.5217","1.5162","1.5240","1.5126","","0.38%"
"12/10/2015","1.5159","1.5175","1.5202","1.5111","","-0.14%"
"12/09/2015","1.5181","1.5008","1.5191","1.5002","","1.15%"
"12/08/2015","1.5008","1.5056","1.5062","1.4956","","-0.30%"
"12/07/2015","1.5053","1.5098","1.5116","1.5041","","-0.39%"
"12/04/2015","1.5112","1.5146","1.5158","1.5079","","-0.22%"
"12/03/2015","1.5145","1.4951","1.5160","1.4905","","1.30%"
"12/02/2015","1.4951","1.5083","1.5087","1.4897","","-0.86%"
"12/01/2015","1.5081","1.5055","1.5126","1.5049","","0.16%"
"11/30/2015","1.5057","1.5038","1.5071","1.4994","","0.13%"
"11/27/2015","1.5038","1.5103","1.5109","1.5030","","-0.42%"
"11/26/2015","1.5102","1.5130","1.5133","1.5065","","-0.17%"
"11/25/2015","1.5128","1.5078","1.5137","1.5055","","0.27%"
"11/24/2015","1.5087","1.5126","1.5159","1.5055","","-0.24%"
"11/23/2015","1.5124","1.5189","1.5198","1.5107","","-0.45%"
"11/20/2015","1.5192","1.5292","1.5312","1.5183","","-0.64%"
"11/19/2015","1.5290","1.5236","1.5336","1.5223","","0.35%"
"11/18/2015","1.5237","1.5210","1.5249","1.5186","","0.14%"
"11/17/2015","1.5215","1.5202","1.5240","1.5156","","0.11%"
"11/16/2015","1.5199","1.5236","1.5229","1.5180","","-0.22%"
"11/13/2015","1.5233","1.5233","1.5266","1.5188","","0.01%"
"11/12/2015","1.5231","1.5208","1.5246","1.5172","","0.12%"
"11/11/2015","1.5212","1.5122","1.5226","1.5118","","0.63%"
"11/10/2015","1.5117","1.5113","1.5146","1.5090","","0.01%"
"11/09/2015","1.5115","1.5048","1.5128","1.5039","","0.43%"
"11/06/2015","1.5050","1.5207","1.5222","1.5026","","-1.03%"
"11/05/2015","1.5206","1.5385","1.5402","1.5202","","-1.15%"
"11/04/2015","1.5383","1.5419","1.5444","1.5357","","-0.25%"
"11/03/2015","1.5421","1.5417","1.5448","1.5360","","0.03%"
"11/02/2015","1.5417","1.5450","1.5499","1.5402","","-0.08%"
"10/30/2015","1.5429","1.5310","1.5468","1.5303","","0.77%"
"10/29/2015","1.5311","1.5264","1.5326","1.5244","","0.33%"
"10/28/2015","1.5261","1.5298","1.5347","1.5246","","-0.24%"
"10/27/2015","1.5297","1.5353","1.5360","1.5282","","-0.35%"
"10/26/2015","1.5350","1.5308","1.5382","1.5302","","0.24%"
"10/23/2015","1.5314","1.5393","1.5420","1.5303","","-0.52%"
"10/22/2015","1.5394","1.5419","1.5509","1.5370","","-0.16%"
"10/21/2015","1.5419","1.5444","1.5480","1.5412","","-0.14%"
"10/20/2015","1.5441","1.5464","1.5505","1.5432","","-0.16%"
"10/19/2015","1.5465","1.5435","1.5501","1.5429","","0.19%"
"10/16/2015","1.5436","1.5454","1.5486","1.5429","","-0.14%"
"10/15/2015","1.5457","1.5478","1.5513","1.5418","","-0.13%"
"10/14/2015","1.5477","1.5250","1.5499","1.5249","","1.50%"
"10/13/2015","1.5248","1.5351","1.5391","1.5202","","-0.63%"
"10/12/2015","1.5345","1.5318","1.5374","1.5310","","0.27%"
"10/09/2015","1.5304","1.5347","1.5384","1.5298","","-0.29%"
"10/08/2015","1.5349","1.5319","1.5377","1.5263","","0.20%"
"10/07/2015","1.5318","1.5229","1.5343","1.5223","","0.60%"
"10/06/2015","1.5227","1.5149","1.5248","1.5143","","0.55%"
"10/05/2015","1.5144","1.5178","1.5244","1.5135","","-0.25%"
"10/02/2015","1.5182","1.5127","1.5238","1.5124","","0.35%"
"10/01/2015","1.5129","1.5128","1.5180","1.5107","","0.00%"
"09/30/2015","1.5129","1.5149","1.5214","1.5107","","-0.15%"
"09/29/2015","1.5151","1.5175","1.5208","1.5130","","-0.15%"
"09/28/2015","1.5174","1.5184","1.5243","1.5158","","-0.05%"
"09/25/2015","1.5182","1.5241","1.5261","1.5134","","-0.39%"
"09/24/2015","1.5241","1.5241","1.5289","1.5199","","-0.03%"
"09/23/2015","1.5246","1.5362","1.5370","1.5221","","-0.77%"
"09/22/2015","1.5365","1.5505","1.5531","1.5341","","-0.92%"
"09/21/2015","1.5507","1.5535","1.5568","1.5480","","-0.16%"
"09/18/2015","1.5532","1.5589","1.5659","1.5513","","-0.38%"
"09/17/2015","1.5591","1.5492","1.5632","1.5488","","0.63%"
"09/16/2015","1.5493","1.5341","1.5529","1.5328","","0.98%"
"09/15/2015","1.5342","1.5425","1.5457","1.5326","","-0.54%"
"09/14/2015","1.5426","1.5422","1.5473","1.5373","","-0.02%"
"09/11/2015","1.5429","1.5442","1.5465","1.5400","","-0.11%"
"09/10/2015","1.5446","1.5366","1.5478","1.5339","","0.51%"
"09/09/2015","1.5368","1.5400","1.5409","1.5352","","-0.18%"
"09/08/2015","1.5396","1.5275","1.5413","1.5267","","0.83%"
"09/07/2015","1.5270","1.5179","1.5289","1.5169","","0.65%"
"09/04/2015","1.5171","1.5258","1.5276","1.5163","","-0.56%"
"09/03/2015","1.5257","1.5299","1.5316","1.5219","","-0.29%"
"09/02/2015","1.5301","1.5302","1.5327","1.5265","","-0.01%"
"09/01/2015","1.5303","1.5343","1.5408","1.5298","","-0.26%"
"08/31/2015","1.5343","1.5394","1.5437","1.5336","","-0.32%"
"08/28/2015","1.5393","1.5401","1.5445","1.5335","","-0.05%"
"08/27/2015","1.5400","1.5460","1.5509","1.5369","","-0.38%"
"08/26/2015","1.5459","1.5687","1.5720","1.5450","","-1.46%"
"08/25/2015","1.5688","1.5778","1.5820","1.5679","","-0.56%"
"08/24/2015","1.5776","1.5701","1.5804","1.5630","","0.50%"
"08/21/2015","1.5697","1.5687","1.5725","1.5657","","0.06%"
"08/20/2015","1.5688","1.5678","1.5702","1.5605","","0.05%"
"08/19/2015","1.5680","1.5657","1.5701","1.5635","","0.12%"
"08/18/2015","1.5661","1.5591","1.5722","1.5565","","0.47%"
"08/17/2015","1.5587","1.5645","1.5692","1.5582","","-0.38%"
"08/14/2015","1.5646","1.5608","1.5661","1.5589","","0.23%"
"08/13/2015","1.5610","1.5610","1.5640","1.5575","","-0.03%"
"08/12/2015","1.5615","1.5571","1.5662","1.5534","","0.27%"
"08/11/2015","1.5573","1.5587","1.5613","1.5553","","-0.09%"
"08/10/2015","1.5587","1.5491","1.5605","1.5456","","0.58%"
"08/07/2015","1.5497","1.5509","1.5545","1.5423","","-0.10%"
"08/06/2015","1.5512","1.5602","1.5638","1.5468","","-0.58%"
"08/05/2015","1.5602","1.5564","1.5652","1.5526","","0.24%"
"08/04/2015","1.5564","1.5589","1.5636","1.5557","","-0.15%"
"08/03/2015","1.5587","1.5627","1.5648","1.5566","","-0.24%"
"07/31/2015","1.5624","1.5602","1.5679","1.5549","","0.14%"
"07/30/2015","1.5602","1.5598","1.5640","1.5562","","-0.01%"
"07/29/2015","1.5604","1.5614","1.5692","1.5589","","-0.04%"
"07/28/2015","1.5611","1.5558","1.5629","1.5528","","0.34%"
"07/27/2015","1.5558","1.5511","1.5596","1.5492","","0.28%"
"07/24/2015","1.5514","1.5514","1.5527","1.5467","","0.00%"
"07/23/2015","1.5514","1.5616","1.5673","1.5501","","-0.64%"
"07/22/2015","1.5614","1.5558","1.5646","1.5545","","0.36%"
"07/21/2015","1.5558","1.5562","1.5591","1.5528","","-0.05%"
"07/20/2015","1.5566","1.5610","1.5629","1.5539","","-0.28%"
"07/17/2015","1.5609","1.5610","1.5672","1.5555","","-0.01%"
"07/16/2015","1.5610","1.5642","1.5654","1.5562","","-0.17%"
"07/15/2015","1.5637","1.5634","1.5676","1.5577","","0.01%"
"07/14/2015","1.5636","1.5491","1.5644","1.5455","","0.96%"
"07/13/2015","1.5488","1.5505","1.5591","1.5480","","-0.24%"
"07/10/2015","1.5526","1.5381","1.5551","1.5362","","0.95%"
"07/09/2015","1.5380","1.5361","1.5423","1.5344","","0.12%"
"07/08/2015","1.5362","1.5463","1.5467","1.5330","","-0.65%"
"07/07/2015","1.5462","1.5602","1.5610","1.5414","","-0.92%"
"07/06/2015","1.5606","1.5538","1.5633","1.5535","","0.23%"
"07/03/2015","1.5570","1.5610","1.5646","1.5558","","-0.25%"
"07/02/2015","1.5609","1.5616","1.5641","1.5563","","-0.06%"
"07/01/2015","1.5618","1.5713","1.5737","1.5594","","-0.58%"
"06/30/2015","1.5709","1.5741","1.5778","1.5694","","-0.19%"
"06/29/2015","1.5739","1.5694","1.5789","1.5665","","-0.08%"
"06/26/2015","1.5752","1.5746","1.5768","1.5708","","0.03%"
"06/25/2015","1.5747","1.5705","1.5773","1.5677","","0.26%"
"06/24/2015","1.5706","1.5731","1.5806","1.5670","","-0.15%"
"06/23/2015","1.5730","1.5821","1.5833","1.5705","","-0.60%"
"06/22/2015","1.5825","1.5870","1.5912","1.5806","","-0.37%"
